field;region;land_type;fertility_score;season;crop;crop_predecessor;crop_yearold;area;hybrid;reproduction;seed_origin;technology;yield_plan;p2o5;k2o;humus;ph;
50.33.02.065.00;Москва;пашня;3;2023;Залежь, кустарник;Залежь, кустарник;;121,50;;;;;;82,50;81,40;1,76;4,73;
50.33.02.066.00;Москва;пашня;3;2023;Оз.пшеница мягкая;Люцерна пр.лет корм;;7,51;Альбирео;ЭС;;классическая с плугом;4,46;0,00;0,00;0,00;0,00;
50.33.02.067.00;Москва;пашня;2;2023;Оз.пшеница мягкая;Люцерна пр.лет корм;;5,34;Альбирео;ЭС;;;4,46;0,00;0,00;0,00;0,00;
50.33.04.001.00;Москва;пашня;3;2023;Яр.пшеница мягкая;Кукуруза корнаж;;26,10;Канюк;РС-2;Покупные;классическая с плугом;3,80;213,40;58,30;2,09;6,71;
50.33.04.002.01;Москва;пашня;;2023;Кукуруза силос;Кукуруза корнаж;;11,35;Нур;F1;Покупные;классическая с плугом;7,90;96,80;81,40;2,20;6,27;
50.33.04.002.02;Москва;пашня;;2023;Залежь;Кукуруза корнаж;;3,48;;;;;;96,80;81,40;2,20;6,27;
50.33.04.003.01;Москва;пашня;2;2023;Залежь, кустарник;Залежь, кустарник;;113,88;;;;;;113,30;89,10;2,53;6,16;
50.33.04.003.02;Москва;пашня;2;2023;Пар;Пар;;6,02;;;;;;113,30;89,10;2,53;6,16;
50.33.04.004.00;Москва;пашня;2;2023;Залежь, лес;Залежь, лес;;27,51;;;;;;69,30;95,70;1,98;5,39;
50.33.04.005.00;Москва;пашня;3;2023;Пар;Пар;;6,29;;;;;;50,60;68,20;2,42;6,38;
50.33.04.006.00;Москва;пашня;3;2023;Пар;Пар;;6,68;;;;;;0,00;0,00;0,00;0,00;
50.33.05.002.01;Москва;пашня;3;2023;Кукуруза корнаж;Оз.пшеница мягкая;;238,03;Каскад 166;F1;Покупные;классическая с плугом;6,30;96,80;57,20;2,20;6,71;
50.33.05.002.02;Москва;пашня;3;2023;Залежь, лес;Залежь, лес;;98,50;;;;;;96,80;57,20;2,20;6,71;
50.33.05.003.01;Москва;пашня;3;2023;Кукуруза корнаж;Оз.пшеница мягкая;;179,72;Каскад 166;F1;Покупные;классическая с плугом;6,30;74,80;81,40;1,65;5,94;
50.33.05.003.02;Москва;пашня;3;2023;Залежь, лес;Залежь, лес;;183,32;;;;;;74,80;81,40;1,65;5,94;
50.33.05.005.00;Москва;пашня;4;2023;Оз.пшеница мягкая;Пар;;162,91;Московская 40;РС-1;;;4,46;196,90;206,80;1,76;6,27;
50.33.05.007.00;Москва;пашня;3;2023;Залежь;Залежь;;14,85;;;;;;423,50;528,00;1,54;6,05;
50.33.05.009.00;Москва;пашня;3;2023;Кукуруза корнаж;Оз.пшеница мягкая;;104,68;Каскад 166;F1;Покупные;классическая с плугом;6,30;132,00;88,00;2,53;6,38;
50.33.05.010.01;Москва;пашня;3;2023;Оз.пшеница мягкая;Яр.пшеница мягкая;;400,00;Скипетр;РС-1;;классическая с плугом;4,46;0,00;0,00;0,00;0,00;
50.33.05.010.02;Москва;пашня;3;2023;Пар;Пар;;22,83;;;;;;0,00;0,00;0,00;0,00;
50.33.05.011.01;Москва;пашня;3;2023;Пар;Оз.пшеница мягкая;;209,09;;;;;;119,90;107,25;1,65;5,72;
50.33.05.011.02;Москва;пашня;3;2023;Залежь, кустарник;Залежь, кустарник;;53,83;;;;;;119,90;107,25;1,65;5,72;
50.33.05.011.03;Москва;пашня;3;2023;Залежь;Залежь;;21,54;;;;;;119,90;107,25;1,65;5,72;
50.33.05.012.00;Москва;пашня;3;2023;Пар;Залежь;;17,58;;;;;;236,50;294,80;2,20;6,05;
50.33.05.013.01;Москва;пашня;;2023;Оз.пшеница мягкая;Пар;;21,78;Московская 40;РС-1;;;4,46;0,00;0,00;0,00;0,00;
50.33.05.013.02;Москва;пашня;;2023;Залежь;Пар;;4,25;;;;;;0,00;0,00;0,00;0,00;
50.33.05.014.00;Москва;пашня;3;2023;Оз.пшеница мягкая;Пар;;33,60;Московская 56;РС-1;;;4,46;313,50;106,70;2,20;6,49;
50.33.05.016.00;Москва;пашня;4;2023;Оз.пшеница мягкая;Яр.пшеница мягкая;;121,77;Московская 40;РС-1;;;4,46;145,20;145,20;1,76;5,83;
50.33.05.017.00;Москва;пашня;4;2023;Оз.пшеница мягкая;Яр.пшеница мягкая;;55,26;Московская 40;РС-1;;;4,46;143,00;132,00;1,54;5,83;
50.33.05.018.00;Москва;пашня;4;2023;Кукуруза корнаж;Оз.пшеница мягкая;;58,01;Каскад 166;F1;Покупные;классическая с плугом;6,30;138,60;80,30;1,32;6,60;
50.33.05.019.00;Москва;пашня;4;2023;Яр.пшеница мягкая;Кукуруза корнаж;;48,24;Ликамеро;РС-2;Покупные;классическая с плугом;3,80;68,20;46,20;1,54;6,05;
50.33.05.020.01;Москва;пашня;3;2023;Яр.пшеница мягкая;Кукуруза корнаж;;14,13;Ликамеро;РС-2;Покупные;классическая с плугом;3,80;152,90;88,00;1,54;6,16;
50.33.05.020.02;Москва;пашня;3;2023;Яр.пшеница мягкая;Кукуруза корнаж;;7,66;Ликамеро;РС-2;Покупные;классическая с плугом;3,80;152,90;88,00;1,54;6,16;
50.33.05.020.03;Москва;пашня;3;2023;Пар;;;3,27;;;;;;152,90;88,00;1,54;6,16;
50.33.05.021.00;Москва;пашня;3;2023;Залежь;Залежь;;5,22;;;;;;212,30;192,50;2,42;5,61;
50.33.05.023.00;Москва;пашня;4;2023;Оз.пшеница мягкая;Пар;;302,87;Московская 56;РС-1;Свои;минимальная;4,46;191,80;109,60;1,58;5,85;
50.33.05.024.00;Москва;пашня;3;2023;Кукуруза корнаж;Оз.пшеница мягкая;;11,45;Каскад 166;F1;Покупные;классическая с плугом;6,30;200,20;78,10;2,53;6,71;
50.33.05.025.01;Москва;пашня;2;2023;Оз.пшеница мягкая;Пар;;14,07;Московская 40;РС-1;;;4,46;247,50;353,10;2,09;6,05;
50.33.05.025.02;Москва;пашня;2;2023;Пар;Пар;;13,39;;;;;;247,50;353,10;2,09;6,05;
50.33.05.026.00;Москва;пашня;4;2023;Оз.пшеница мягкая;Яр.пшеница мягкая;;185,79;Московская 40;РС-1;;;4,46;113,85;101,75;1,59;6,27;
50.33.05.027.00;Москва;пашня;3;2023;Залежь, лес;Залежь, лес;;3,56;;;;;;38,50;50,60;0,77;5,94;
50.33.05.028.00;Москва;пашня;3;2023;Залежь, лес;Залежь, лес;;2,47;;;;;;106,70;97,90;2,64;7,15;
50.33.05.029.00;Москва;пашня;3;2023;Залежь, лес;Залежь, лес;;2,40;;;;;;38,50;90,20;1,10;5,06;
50.33.05.030.00;Москва;пашня;4;2023;Яр.пшеница мягкая;Кукуруза корнаж;;84,20;Ликамеро;РС-2;Покупные;классическая с плугом;3,80;117,70;60,50;1,54;5,94;
50.33.05.031.01;Москва;пашня;3;2023;Залежь, лес;Оз.пшеница мягкая;;10,95;;;;;;294,80;185,90;1,87;6,05;
50.33.05.031.02;Москва;пашня;4;2023;Кукуруза корнаж;Оз.пшеница мягкая;;489,85;Каскад 166;F1;Покупные;классическая с плугом;6,30;294,80;185,90;1,87;6,05;
50.33.05.034.00;Москва;пашня;;2023;Оз.пшеница мягкая;Пар;;52,94;Московская 56;РС-1;Свои;минимальная;4,46;317,90;223,30;1,54;5,72;
50.33.05.035.01;Москва;пашня;4;2023;Оз.пшеница мягкая;Пар;;25,24;Московская 56;РС-1;Свои;минимальная;4,46;376,20;348,70;2,75;5,83;
50.33.05.035.02;Москва;пашня;3;2023;Залежь;Пар;;0,64;;;;;;376,20;348,70;2,75;5,83;
50.33.05.036.00;Москва;пашня;4;2023;Оз.пшеница мягкая;Пар;;155,92;Московская 56;РС-1;Свои;минимальная;4,46;480,70;481,80;2,86;6,38;
50.33.05.039.00;Москва;пашня;2;2023;Залежь, лес;Залежь, лес;;62,16;;;;;;0,00;0,00;0,00;0,00;
50.33.05.041.00;Москва;пашня;;2023;Оз.пшеница мягкая;Пар;;31,35;Московская 56;РС-1;Свои;минимальная;4,46;297,00;220,00;1,76;5,72;
50.33.05.042.00;Москва;пашня;3;2023;Пар;Оз.пшеница мягкая;;5,10;;;;;;309,10;415,80;2,31;7,04;
50.33.05.044.00;Москва;пашня;4;2023;Яр.пшеница мягкая;Кукуруза корнаж;;287,26;Ликамеро;РС-2;Покупные;классическая с плугом;3,80;0,00;0,00;0,00;0,00;
50.33.05.045.01;Москва;пашня;3;2023;Кукуруза корнаж;Кукуруза корнаж;;218,94;Каскад 166;F1;Покупные;классическая с плугом;6,30;114,40;100,10;1,76;5,78;
50.33.05.045.02;Москва;пашня;3;2023;Кукуруза корнаж;Оз.пшеница мягкая;;60,03;Каскад 166;;;;6,30;114,40;100,10;1,76;5,78;
50.33.05.045.03;Москва;пашня;3;2023;Залежь, лес;Залежь, лес;;17,26;;;;;;114,40;100,10;1,76;5,78;
50.33.05.045.04;Москва;пашня;3;2023;Оз.пшеница мягкая;Пар;;28,65;Московская 56;РС-1;Свои;минимальная;4,46;114,40;100,10;1,76;5,78;
50.33.05.045.05;Москва;пашня;3;2023;Пар;Оз.пшеница мягкая;;57,56;;;;;;114,40;100,10;1,76;5,78;
50.33.05.048.00;Москва;пашня;4;2023;Оз.пшеница мягкая;Пар;;29,04;Московская 56;РС-1;Свои;минимальная;4,46;163,90;139,70;2,09;5,72;
50.33.05.049.00;Москва;пашня;3;2023;Пар;Оз.пшеница мягкая;;7,33;;;;;;69,30;104,50;1,43;5,06;
50.33.05.050.00;Москва;пашня;3;2023;Залежь, кустарник;Залежь, кустарник;;11,79;;;;;;40,70;104,50;1,21;4,51;
50.33.05.051.00;Москва;пашня;4;2023;Оз.пшеница мягкая;Пар;;20,22;Московская 56;РС-1;Свои;минимальная;4,46;262,35;267,85;1,93;5,45;
50.33.05.053.00;Москва;пашня;3;2023;Пар;Пар;;6,60;;;;;;80,30;150,70;1,43;5,94;
50.33.05.054.00;Москва;пашня;3;2023;Пар;Оз.пшеница мягкая;;46,10;;;;;;0,00;0,00;0,00;0,00;
50.33.05.056.00;Москва;пашня;3;2023;Пар;Оз.пшеница мягкая;;69,76;;;;;;122,10;56,10;1,54;5,17;
50.33.05.057.00;Москва;пашня;4;2023;Оз.пшеница мягкая;Яр.пшеница мягкая;;11,53;Скипетр;РС-1;Свои;;4,46;78,10;80,30;2,42;5,50;
50.33.05.058.00;Москва;пашня;4;2023;Оз.пшеница мягкая;Пар;;41,44;Московская 56;РС-1;Свои;минимальная;4,46;125,40;57,20;2,53;6,38;
50.33.05.059.00;Москва;пашня;3;2023;Залежь, лес;Залежь, лес;;9,79;;;;;;46,20;102,30;1,21;4,84;
50.33.05.062.00;Москва;пашня;4;2023;Кукуруза корнаж;Оз.пшеница мягкая;;92,12;Каскад 166;F1;Покупные;классическая с плугом;6,30;178,20;64,90;2,31;6,60;
50.33.05.063.00;Москва;пашня;4;2023;Пар;Оз.пшеница мягкая;;124,03;;;;;;64,90;69,85;1,81;5,23;
50.33.05.064.00;Москва;пашня;2;2023;Залежь, лес;Залежь, лес;;13,84;;;;;;48,40;86,90;1,32;6,38;
50.33.05.065.00;Москва;пашня;4;2023;Пар;Оз.пшеница мягкая;;55,28;;;;;;55,00;74,80;1,54;5,61;
50.33.05.066.00;Москва;пашня;2;2023;Залежь, лес;Залежь, лес;;14,82;;;;;;83,60;94,60;1,43;5,50;
36.02.02.001.00;Воронеж;пашня;3;2023;Кукуруза зерно;Сах.свекла;;59,77;;;;минимальная;6,51;67,10;93,50;7,37;6,27;
36.02.02.002.01;Воронеж;пашня;4;2023;Кукуруза зерно;"Люцерна пр.лет корм; Эсп.+костр.пр.лет корм";;146,31;;;;минимальная;6,51;119,90;135,30;7,70;5,94;
36.02.02.002.02;Воронеж;пашня;4;2023;Пар;"Люцерна пр.лет корм; Эсп.+костр.пр.лет корм";;3,91;;;;;;119,90;135,30;7,70;5,94;
36.02.02.003.01;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна 1 г.ж.корм;2;68,82;Дакота;РС-2;Свои;минимальная;5,49;69,30;113,30;7,59;6,16;
36.02.02.003.02;Воронеж;пашня;3;2023;Пар;Люцерна 1 г.ж.корм;;74,69;;;;;;69,30;113,30;7,59;6,16;
36.02.02.004.00;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна 1 г.ж.корм;2;47,71;Дакота;РС-2;Свои;минимальная;5,49;69,30;112,20;7,26;6,16;
36.02.02.005.00;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна 1 г.ж.корм;2;83,62;Дакота;РС-2;Свои;минимальная;5,49;55,00;104,50;7,81;6,49;
36.02.02.006.01;Воронеж;пашня;4;2023;Кукуруза силос;Люцерна пр.лет корм;;17,72;;;;минимальная;7,65;102,30;136,40;7,48;5,83;
36.02.02.006.02;Воронеж;пашня;4;2023;Пар;Люцерна пр.лет корм;;1,21;;;;;;102,30;136,40;7,48;5,83;
36.02.02.006.03;Воронеж;пашня;4;2023;Кукуруза зерно;Люцерна пр.лет корм;;197,93;;;;минимальная;6,51;102,30;136,40;7,48;5,83;
36.02.02.007.00;Воронеж;пашня;4;2023;Кукуруза зерно;Люцерна пр.лет корм;;102,23;;;;минимальная;6,51;132,00;114,40;7,81;5,83;
36.02.02.008.00;Воронеж;пашня;4;2023;Кукуруза силос;Кукуруза зерно;;155,78;;;;классическая с плугом;7,65;139,70;147,40;6,93;5,94;
36.02.02.009.01;Воронеж;пашня;4;2023;Сах.свекла;Оз.пшеница мягкая;;10,00;;;;минимальная;46,97;99,00;101,20;7,26;6,16;
36.02.02.009.02;Воронеж;пашня;4;2023;Сах.свекла;Оз.пшеница мягкая;;101,62;;;;минимальная;46,97;99,00;101,20;7,26;6,16;
36.02.02.009.03;Воронеж;пашня;4;2023;Пар;Оз.пшеница мягкая;;0,63;;;;минимальная;;99,00;101,20;7,26;6,16;
36.02.02.010.01;Воронеж;пашня;3;2023;Люцерна 1 г.ж.корм;Оз.пшеница мягкая;1;69,89;;;;минимальная;2,97;71,50;117,70;6,60;6,60;
36.02.02.010.02;Воронеж;пашня;3;2023;Пар;Оз.пшеница мягкая;;3,72;;;;;;71,50;117,70;6,60;6,60;
36.02.02.011.01;Воронеж;пашня;4;2023;Яр.ячмень;Кукуруза зерно;;10,74;;;;минимальная;5,11;99,00;119,90;6,49;6,93;
36.02.02.011.02;Воронеж;пашня;4;2023;Пар;Кукуруза зерно;;0,69;;;;;;99,00;119,90;6,49;6,93;
36.02.02.012.00;Воронеж;пашня;4;2023;Люцерна 1 г.ж.корм;Сах.свекла;1;55,68;;;;классическая с плугом;2,97;99,00;107,80;6,93;6,16;
36.02.02.013.01;Воронеж;пашня;4;2023;Сах.свекла;Оз.пшеница мягкая;;71,93;;;;минимальная;46,97;85,80;110,00;6,60;6,38;
36.02.02.013.02;Воронеж;пашня;4;2023;Сах.свекла;Оз.пшеница мягкая;;5,74;;;;минимальная;46,97;85,80;110,00;6,60;6,38;
36.02.02.013.03;Воронеж;пашня;4;2023;Пар;Оз.пшеница мягкая;;5,51;;;;;;85,80;110,00;6,60;6,38;
36.02.02.014.01;Воронеж;пашня;4;2023;Сах.свекла;Оз.пшеница мягкая;;70,78;;;;минимальная;46,97;70,40;101,20;6,05;6,49;
36.02.02.014.02;Воронеж;пашня;4;2023;Пар;Оз.пшеница мягкая;;1,65;;;;;;70,40;101,20;6,05;6,49;
36.02.02.015.01;Воронеж;пашня;3;2023;Сах.свекла;Оз.пшеница мягкая;;38,59;;;;минимальная;46,97;96,80;114,40;5,83;6,05;
36.02.02.015.02;Воронеж;пашня;3;2023;Залежь;Залежь;;2,70;;;;;;96,80;114,40;5,83;6,05;
36.02.02.015.03;Воронеж;пашня;3;2023;Пар;Залежь;;0,51;;;;минимальная;;96,80;114,40;5,83;6,05;
36.02.02.016.00;Воронеж;пашня;4;2023;Сах.свекла;Оз.пшеница мягкая;;143,18;;;;минимальная;46,97;95,70;114,40;6,49;6,05;
36.02.02.017.00;Воронеж;пашня;4;2023;Сах.свекла;Оз.пшеница мягкая;;50,24;;;;классическая с плугом;46,97;130,90;115,50;7,04;5,94;
36.02.02.018.01;Воронеж;пашня;4;2023;Яр.ячмень;Сах.свекла;;192,64;;;;классическая с плугом;5,11;111,10;122,10;6,93;6,05;
36.02.02.018.02;Воронеж;пашня;4;2023;Пар;Сах.свекла;;2,02;;;;;;111,10;122,10;6,93;6,05;
36.02.02.019.00;Воронеж;пашня;4;2023;Яр.ячмень;Кукуруза зерно;;77,25;;;;классическая с плугом;5,11;75,90;94,60;6,71;5,83;
36.02.02.020.00;Воронеж;пашня;3;2023;Люцерна 1 г.ж.корм;Сах.свекла;1;104,00;Планет;РС-1;Свои;минимальная;2,97;85,80;85,80;5,83;5,94;
36.02.02.021.01;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна 1 г.ж.корм;2;136,52;Дакота;РС-2;Свои;классическая с плугом;5,49;200,20;184,80;5,01;6,60;
36.02.02.021.02;Воронеж;пашня;3;2023;Эсп.+костр.пр.лет корм;Эсп.+костр.пр.лет корм;3;1,67;Смесь сортов;Смесь репродукций;Свои;классическая с плугом;4,14;200,20;184,80;5,01;6,60;
36.02.02.023.00;Воронеж;луг;1;2023;Луг;Луг;;46,82;;;;;2,00;0,00;0,00;0,00;0,00;
36.02.02.024.00;Воронеж;пашня;1;2023;Эспарцет пр.лет сем.;Эспарцет 1 г.ж.сем.;2;69,88;Песчаный 1251;РСт;Свои;минимальная;0,70;31,90;58,30;2,20;4,51;
36.02.02.025.01;Воронеж;пашня;1;2023;Кукуруза силос;"Люцерна пр.лет сем.; Эспарцет пр.лет сем.";;93,73;Адевей;F1;Покупные;минимальная;7,65;34,10;71,50;2,20;4,95;
36.02.02.025.02;Воронеж;пашня;1;2023;Пар;"Люцерна пр.лет сем.; Эспарцет пр.лет сем.";;3,38;;;;минимальная;;34,10;71,50;2,20;4,95;
36.02.02.026.00;Воронеж;пашня;4;2023;Кукуруза силос;Кукуруза зерно;;99,74;;;;классическая с плугом;7,65;110,00;117,70;8,25;5,94;
36.02.02.027.00;Воронеж;пашня;4;2023;Кукуруза корнаж;Кукуруза силос;;94,54;;;;классическая с плугом;;101,20;135,30;7,81;5,94;
36.02.02.028.01;Воронеж;пашня;4;2023;Кукуруза силос;Сах.свекла;;68,79;;;;классическая с плугом;7,65;150,70;209,00;7,59;6,16;
36.02.02.028.02;Воронеж;пашня;4;2023;Пар;Сах.свекла;;16,15;;;;;;150,70;209,00;7,59;6,16;
36.02.02.029.01;Воронеж;пашня;4;2023;Кукуруза силос;Люцерна пр.лет корм;;43,50;;;;минимальная;7,65;98,78;127,27;4,66;7,25;
36.02.02.029.02;Воронеж;пашня;4;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;7;15,88;4020 МФ;РСт;Свои;минимальная;5,49;98,78;127,27;4,66;7,25;
36.02.02.029.03;Воронеж;пашня;4;2023;Пар;Люцерна пр.лет корм;;27,18;;;;;;98,78;127,27;4,66;7,25;
36.02.02.030.01;Воронеж;пашня;4;2023;Кукуруза силос;Сах.свекла;;89,52;;;;классическая с плугом;7,65;125,40;140,80;6,82;6,38;
36.02.02.030.02;Воронеж;пашня;4;2023;Пар;Сах.свекла;;0,82;;;;классическая с плугом;;125,40;140,80;6,82;6,38;
36.02.02.031.01;Воронеж;пашня;3;2023;Люцерна 1 г.ж.корм;Сах.свекла;1;100,21;;;;минимальная;2,97;91,30;102,30;5,94;6,38;
36.02.02.031.02;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;4;1,24;Дакота;РС-2;Свои;минимальная;5,49;91,30;102,30;5,94;6,38;
36.02.02.032.01;Воронеж;пашня;1;2023;Люцерна пр.лет сем.;Люцерна пр.лет сем.;3;35,37;Планет;ЭС;Покупные;минимальная;0,22;30,80;62,70;1,87;4,51;
36.02.02.032.02;Воронеж;пашня;1;2023;Эспарцет пр.лет сем.;Эспарцет пр.лет сем.;3;2,12;Песчаный 1251;РСт;Свои;минимальная;0,70;30,80;62,70;1,87;4,51;
36.02.02.033.00;Воронеж;пашня;1;2023;Залежь;Залежь;;37,74;;;;;;0,00;0,00;0,00;0,00;
36.02.02.034.00;Воронеж;пашня;1;2023;Залежь;Залежь;;40,98;;;;;;0,00;0,00;0,00;0,00;
36.02.02.035.01;Воронеж;пашня;3;2023;Кукуруза силос;Кукуруза силос;;127,34;;;;классическая с плугом;7,65;97,90;112,20;7,15;6,05;
36.02.02.035.02;Воронеж;пашня;3;2023;Пар;Кукуруза силос;;0,69;;;;;;97,90;112,20;7,15;6,05;
36.02.02.036.01;Воронеж;пашня;3;2023;Кукуруза силос;Кукуруза силос;;82,55;;;;классическая с плугом;7,65;102,30;124,30;7,15;6,38;
36.02.02.036.02;Воронеж;пашня;3;2023;Пар;Кукуруза силос;;1,01;;;;;;102,30;124,30;7,15;6,38;
36.02.02.037.00;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;3;77,51;Дакота;РС-2;Свои;минимальная;5,49;123,20;146,30;7,15;6,27;
36.02.02.038.00;Воронеж;пашня;4;2023;Люцерна 1 г.ж.корм;Яр.ячмень;1;101,08;Планет;РС-1;Свои;минимальная;2,97;205,70;261,80;7,59;6,27;
36.02.02.039.00;Воронеж;пашня;4;2023;Люцерна 1 г.ж.корм;Яр.ячмень;1;109,58;Планет;РС-2;Свои;минимальная;2,97;201,30;248,60;7,26;6,16;
36.02.02.040.01;Воронеж;пашня;4;2023;Яр.ячмень;Сах.свекла;;144,22;;;;классическая с плугом;5,11;133,10;166,10;6,60;6,60;
36.02.02.040.02;Воронеж;пашня;4;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;4;2,93;4020 МФ;РСт;Свои;минимальная;5,49;133,10;166,10;6,60;6,60;
36.02.02.041.00;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна 1 г.ж.корм;2;55,46;Дакота;РС-2;Свои;минимальная;5,49;91,30;121,00;4,73;6,05;
36.02.02.042.00;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна 1 г.ж.корм;2;45,57;Дакота;РС-2;Свои;минимальная;5,49;66,00;94,60;5,28;6,49;
36.02.02.043.00;Воронеж;пашня;2;2023;Мн.травосм.пр.лет корм;Мн.травосм.пр.лет корм;4;89,66;Смесь сортов;Смесь репродукций;Свои;минимальная;3,60;132,00;103,40;5,39;7,81;
36.02.02.044.00;Воронеж;пашня;1;2023;Эспарцет пр.лет сем.;Эспарцет 1 г.ж.сем.;2;94,10;Песчаный 1251;РСт;Свои;нулевая с прямым посевом;0,70;40,70;63,80;1,87;4,84;
36.02.02.045.00;Воронеж;пашня;1;2023;Эспарцет пр.лет сем.;Эспарцет 1 г.ж.сем.;2;45,79;Песчаный 1251;РСт;Свои;нулевая с прямым посевом;0,70;34,10;71,50;2,53;4,95;
36.02.02.046.01;Воронеж;пашня;1;2023;Люцерна пр.лет сем.;Люцерна пр.лет сем.;3;38,22;Планет;ЭС;Покупные;минимальная;0,22;51,15;75,35;3,46;5,67;
36.02.02.046.02;Воронеж;пашня;1;2023;Пар;Одн.тр.фацелия семена;;7,34;;;;минимальная;;51,15;75,35;3,46;5,67;
36.02.02.047.00;Воронеж;пашня;3;2023;Одн.тр.оз.рожь корм;Кукуруза силос;;124,09;Таловская 41;РС-1;Покупные;нулевая с прямым посевом;4,50;44,00;64,90;2,86;5,28;
36.02.02.048.00;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна 1 г.ж.корм;2;90,70;Дакота;РС-2;Свои;классическая с плугом;5,49;136,40;143,00;7,15;6,16;
36.02.02.049.00;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;3;76,02;Сарга;ЭС;Свои;минимальная;5,49;166,10;166,10;7,04;6,27;
36.02.02.050.00;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна 1 г.ж.корм;2;33,74;Дакота;РС-2;Свои;минимальная;5,49;156,20;204,60;7,04;6,38;
36.02.02.051.00;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна 1 г.ж.корм;2;65,89;Дакота;РС-2;Свои;минимальная;5,49;108,90;130,90;5,72;6,27;
36.02.02.052.00;Воронеж;пашня;3;2023;Мн.травосм.пр.лет корм;Мн.травосм.пр.лет корм;4;40,34;Смесь сортов;Смесь репродукций;Свои;минимальная;3,60;193,60;123,20;5,06;7,81;
36.02.02.054.01;Воронеж;пашня;3;2023;Одн.тр.оз.рожь корм;Кукуруза силос;;55,51;Таловская 41;РС-1;Покупные;минимальная;4,50;27,50;50,60;2,42;5,06;
36.02.02.054.02;Воронеж;пашня;3;2023;Пар;Кукуруза силос;;3,18;;;;;;27,50;50,60;2,42;5,06;
36.02.02.055.01;Воронеж;пашня;2;2023;Люцерна пр.лет сем.;Люцерна пр.лет сем.;4;81,96;Планет;ЭС;Покупные;минимальная;0,22;46,20;94,60;3,41;5,06;
36.02.02.055.02;Воронеж;пашня;2;2023;Эспарцет пр.лет сем.;Эспарцет пр.лет сем.;4;6,63;Песчаный 1251;РС-2;Свои;минимальная;0,70;46,20;94,60;3,41;5,06;
36.02.02.055.03;Воронеж;пашня;2;2023;Пар;Пар;;6,07;;;;;;46,20;94,60;3,41;5,06;
36.02.02.056.00;Воронеж;пашня;3;2023;Оз.пшеница мягкая;Кукуруза силос;;139,64;Губернатор Дона;РС-2;Свои;минимальная;5,70;78,10;89,10;5,94;5,61;
36.02.02.057.01;Воронеж;пашня;3;2023;Кукуруза силос;Кукуруза силос;;101,48;;;;минимальная;7,65;58,30;85,80;6,65;6,33;
36.02.02.057.02;Воронеж;пашня;3;2023;Пар;Кукуруза силос;;16,54;;;;;;58,30;85,80;6,65;6,33;
36.02.02.058.00;Воронеж;пашня;3;2023;Кукуруза зерно;Сах.свекла;;39,78;;;;минимальная;6,51;118,80;167,20;7,70;5,61;
36.02.02.059.00;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна 1 г.ж.корм;2;130,34;Дакота;РС-2;Свои;минимальная;5,49;99,00;150,70;5,61;6,60;
36.02.02.060.00;Воронеж;луг;1;2023;Луг;Луг;;14,24;;;;;2,00;0,00;0,00;0,00;0,00;
36.02.02.062.00;Воронеж;пашня;1;2023;Кукуруза зерно;Кострец пр.лет сем.;;18,19;;;;нулевая с прямым посевом;6,51;17,60;56,10;2,31;4,84;
36.02.02.063.00;Воронеж;пашня;3;2023;Кукуруза силос;Подсолнечник кондит.;;139,83;;;;классическая с плугом;7,65;99,00;136,40;6,27;6,27;
36.02.02.064.00;Воронеж;пашня;3;2023;Люцерна пр.лет корм;Люцерна 1 г.ж.корм;2;145,47;Дакота;РС-2;Свои;минимальная;5,49;86,90;113,30;5,50;6,05;
36.02.02.065.00;Воронеж;пашня;1;2023;Оз.пшеница мягкая;Кукуруза силос;;143,03;Губернатор Дона;РС-2;Свои;минимальная;5,70;49,50;79,20;3,96;5,39;
36.02.02.066.01;Воронеж;пашня;2;2023;Оз.пшеница мягкая;Кукуруза силос;;102,89;Губернатор Дона;РС-2;Свои;классическая с плугом;5,70;52,80;75,90;4,62;5,50;
36.02.02.066.02;Воронеж;пашня;2;2023;Пар;Кукуруза силос;;0,45;;;;;;52,80;75,90;4,62;5,50;
36.02.02.067.01;Воронеж;пашня;2;2023;Кукуруза силос;Кукуруза зерно;;52,38;Микси;F1;Покупные;минимальная;7,65;56,10;84,70;4,95;5,50;
36.02.02.067.02;Воронеж;пашня;2;2023;Пар;Кукуруза зерно;;1,93;;;;;;56,10;84,70;4,95;5,50;
